Feature Index,Category,Score,Explanation
1519,Low-level,3,The feature seems to relate to economic terms associated with downturns. It shows a pattern but has some inconsistencies that prevent it from being more structured or detailed.
14,Undiscernible,1,"The activations show no clear pattern or theme, indicating that this feature is likely random noise or irrelevant."
1008,Undiscernible,1,"The activation values for the tokens do not show a clear or consistent pattern, indicating random noise or irrelevant activations."
315,Undiscernible,1,"The activations do not reveal a clear pattern or consistent theme, suggesting random or irrelevant activations."
277,Undiscernible,1,"The activations have no discernible pattern, indicating random or irrelevant activations."
324,Undiscernible,1,"The activations show no clear pattern or theme, with weak and inconsistent activations across tokens."
1494,Low-level,3,"The activations focus on economic terms (e.g., 'economic', 'crashed', 'crisis'), suggesting a theme of financial events. However, the presence of tokens like '<|begin_of_text|>' that don't fit the pattern indicates some inconsistency, leading to a mid-range monosemanticity score."
1561,Low-level,3,"The feature predominantly activates around economic-related terms which suggests a low-level focus on vocabulary or themes related to economics, albeit with the exception of a notably high activation at the beginning of text token. This indicates a clear overall pattern but with some inconsistency."
2015,Undiscernible,1,"The activation values are very close to each other, and the tokens do not form a discernible pattern or consistent theme, indicating a lack of clear feature relevance."
1812,Undiscernible,1,"The activations do not form a discernible pattern and appear to be random, typical of undiscernible features."
1858,Undiscernible,1,"The activation values are very close and do not indicate a clear or consistent pattern. The tokens seem randomly activated without a discernible theme, suggesting random noise or irrelevant activations."
753,Undiscernible,1,"The activations show no clear pattern or association with specific tokens, suggesting random noise."
824,Undiscernible,1,"The activations do not show a clear or coherent pattern related to either a low-level or high-level feature, suggesting random or irrelevant activations."
1576,Undiscernible,1,"The activations do not show a clear or consistent pattern, with tokens seeming unrelated and scattered, indicating random noise or irrelevant activations."
1006,Undiscernible,1,"The activations do not follow a clear pattern and appear mostly random, with no evident thematic or structural connection between the tokens."
1472,Undiscernible,1,"The activations do not exhibit any clear or coherent pattern, showing random or irrelevant activations for tokens like punctuation and numerals, suggesting noise."
323,Undiscernible,1,"The activation values show no clear, discernible pattern, with tokens not coherently linked by any obvious theme or context."
535,Undiscernible,1,"The activations show no clear pattern as most tokens have similar low activation values, indicating irrelevant activations or noise."
918,Undiscernible,1,The activation values do not show a clear pattern or association with specific tokens; they appear random and lack structure.
311,Undiscernible,1,The feature activation data does not show a clear or consistent pattern; the high activation of <|begin_of_text|> suggests random or irrelevant activations.
1247,Low-level,4,"The tokens 'market', 'crisis', 'stock', and 'crashed' suggest a financial theme, indicating a low-level polysemy pattern. The start token acts as a deviating example, slightly reducing the consistency."
1957,Undiscernible,1,"The activations provided do not form a discernible pattern or theme, suggesting randomness or noise."
288,Undiscernible,1,"The activation values do not show a clear, consistent pattern or association to a specific theme, suggesting random or irrelevant activations typical of undiscernible features."
429,Undiscernible,1,"The activation levels across the provided tokens do not show a discernible pattern, indicating random or irrelevant activations typical of undiscernible features."
1309,Undiscernible,1,The activations show no discernible pattern or consistent theme; they appear randomly distributed with no clear high-level or low-level pattern.
1279,Undiscernible,1,"The activations do not form a discernible pattern or theme, with a wide variety of unconnected tokens."
196,Undiscernible,1,"The activations are very close in value and do not indicate a clear pattern or consistent theme, suggesting random noise or irrelevant activations."
1989,Undiscernible,1,"The activation values do not present a clear pattern or thematic consistency, indicating random noise or irrelevant activations."
470,Low-level,3,"The feature has a clear pattern associating with specific tokens like 'economic' and 'crashed', suggesting a thematic focus on events or statements of consequence, but also includes common and generic tokens like 'the' and '.', which introduces some inconsistency."
290,Undiscernible,1,The feature shows no clear pattern or consistent activation among the tokens. The tokens activated appear random and include generic tokens like punctuation and special tokens.
1714,Undiscernible,1,The activations show no clear pattern or consistent theme among the tokens; it appears to be random noise or irrelevant activations.
1797,Undiscernible,1,"The activation values are low and show no clear or consistent pattern, resembling random noise with no discernible theme or structure."
1032,Undiscernible,1,The feature does not present any clear pattern in the activation of tokens. The activations seem random and do not suggest a consistent theme or association with a specific concept.
792,Low-level,4,"The activation values suggest a clear association with tokens related to market events, indicating a pattern with only minor deviations."
1305,Undiscernible,1,"The activations show no clear pattern or meaningful association with any token, suggesting random noise or irrelevant activations."
1445,Undiscernible,1,"The activations do not display a clear pattern or consistent theme among the tokens, suggesting random noise rather than a meaningful low-level or high-level feature."
1330,Undiscernible,1,"The activation values show no clear pattern or consistent thematic association with the tokens, indicating that the feature is likely random noise or irrelevant activations."
1696,Undiscernible,1,"The activations show no clear pattern as the tokens activated appear random and unrelated, indicating a lack of discernible pattern or theme."
168,Undiscernible,1,"The feature exhibits no clear pattern as it activates weakly across random tokens, including punctuation and non-informative tokens such as '<|begin_of_text|>'."
1218,Undiscernible,1,"The activation data shows no clear pattern or thematic consistency among the tokens, indicating random noise and irrelevant activations."
1280,Undiscernible,1,"The activation values do not demonstrate a clear, consistent pattern or association with any specific tokens or themes."
1456,Undiscernible,1,The activations show no discernible pattern among the tokens. They appear to be random or lack strong association with any coherent theme.
1556,Undiscernible,1,"The activations do not show a discernible pattern related to specific low-level or high-level language features, indicating random noise or irrelevant activations."
45,Low-level,3,"The activations seem to relate to economic terms ('crisis', 'market', 'stock') indicating a related theme, but the presence of non-descriptive tokens like '.' and 'during' introduces inconsistencies, suggesting a recognizable pattern with some deviations."
404,Undiscernible,1,The tokens do not indicate a clear and consistent pattern; the highest activation for '<|begin_of_text|>' suggests initialization noise without discernible relevance to low or high-level features.
962,Undiscernible,1,"The activation values do not reveal a clear pattern or theme, indicating random noise or irrelevant activations."
1000,Low-level,2,"The feature shows activations on words related to 'crisis' or 'crash', indicating a theme of negative events, but lacks a consistent or specific pattern due to the activation of common words like 'The'."
539,Undiscernible,1,The activations show no discernible pattern and seem to activate randomly across a range of tokens without a clear theme or pattern. This suggests random noise or irrelevant activations.
793,Undiscernible,1,"The activations are random and low in value, with no discernible pattern or specific focus, suggesting noise rather than meaningful feature activation."
978,Undiscernible,1,"The activations do not show a clear pattern or association with a coherent concept or theme, indicating random noise or irrelevant activations."
12,Undiscernible,1,"The activation data shows no clear pattern or consistent theme among the tokens, indicating random noise or irrelevant activations."
1689,Undiscernible,2,The activation values do not show a clear or consistent pattern associated with either low-level or high-level features. The tokens are loosely related but lack a discernible structured theme.
131,Undiscernible,1,The activations do not show a discernible pattern as the tokens activated seem random and do not align with any specific low-level or high-level feature.
41,Undiscernible,1,"The activations do not show a clear pattern or consistent theme, with the exception of a randomly high activation for a non-specific token, suggesting noise or irrelevant activations."
1322,Undiscernible,1,"The activations do not show a clear or consistent pattern, suggesting random noise or irrelevant activations."
614,Undiscernible,1,"The activation values show no clear thematic or structural pattern, indicating randomness or noise, characteristic of undiscernible features."
1551,Low-level,3,"The activations suggest a relevance to word-level concepts like 'crashed' and 'stock', indicating polysemy or contextual relevance, but the consistency is not strong enough for a higher score."
1744,Undiscernible,1,"The activation data shows no clear pattern with tokens like '8', 'Ġthe', and '<|begin_of_text|>' receiving similar activations, indicating random noise or irrelevant activations."
337,Undiscernible,1,The activations don't present a clear pattern associable with either low-level or high-level features; the tokens activated appear random and unrelated.
936,Undiscernible,1,"The activations do not form a discernible pattern and appear as random noise across tokens, indicating no meaningful relevance."
385,Undiscernible,1,"The feature activations do not form a clear or consistent pattern, and seem to be random or irrelevant activations."
1694,Undiscernible,1,"The activations do not demonstrate any clear or consistent pattern, appearing to activate over common or unrelated tokens, suggesting randomness."
100,Undiscernible,1,"The tokens activated do not exhibit a consistent theme or pattern, appearing random and without clear association."
701,Undiscernible,1,"The activation values show no clear pattern or theme among the tokens, indicating random noise rather than coherent low-level or high-level feature activation."
1775,Undiscernible,1,"The activations appear to lack a clear pattern or theme, indicating random or irrelevant associations, characteristic of undiscernible features."
1667,Undiscernible,1,"The activation values do not exhibit any clear pattern relating to a specific feature type and are relatively low, indicating a lack of discernible structure or theme. This suggests random noise or irrelevant activations."
1068,Undiscernible,1,"The feature shows no clear pattern or consistent activation among the tokens, indicating random or irrelevant activations."
363,Undiscernible,1,"The activation levels across the tokens show no clear pattern or theme, indicating a lack of discernible relevance to any meaningful concept."
756,Undiscernible,2,"The activations appear to relate to a broad financial theme, but lack a clear pattern or consistent structure that aligns with specific low-level or high-level features."
349,Undiscernible,1,"The activations across the tokens do not show a clear or consistent pattern, suggesting random noise or irrelevant activations. There is no discernible theme or structure present."
1465,Undiscernible,1,"The activation values show no discernible pattern or meaningful association with the tokens, indicating noise and lack of structure."
346,Undiscernible,1,"The activations show no clear pattern or theme, dominated by potentially random or irrelevant tokens, suggesting no discernible association with any feature."
386,Undiscernible,1,"The tokens activated do not show a clear pattern or thematic consistency, with various unrelated terms being activated."
1534,Undiscernible,1,"The activations are largely uniform across various uninformative tokens, with no clear pattern or consistent thematic structure."
250,Undiscernible,1,"The activation values show no discernible pattern or relevance to specific word-level or high-level structures, indicating random or noise-like activations."
1123,Undiscernible,1,The activations do not show a discernible pattern as they seem random and do not correspond to low-level or high-level features.
1284,Undiscernible,1,"The tokens activated show no consistent semantic or syntactic pattern, indicating random noise and irrelevant activations."
124,Undiscernible,1,"The activations do not show any clear pattern or relevance to words that normally associate with specific high-level or low-level features, indicating random noise."
176,Undiscernible,1,The feature activations show no discernible pattern as the tokens activated are common words without a clear thematic or structural pattern.
1316,Undiscernible,1,"The feature activations do not display a clear pattern or consistent theme, suggesting random noise or irrelevant activations, characteristic of undiscernible features."
810,Undiscernible,1,"The activations for different tokens have no clear pattern or theme, indicating random noise or irrelevant activations."
900,High-level,2,"The activated tokens suggest a focus on economic contexts, hinting at a broad theme related to crises or market-related discussions, yet without a clear, consistent structure."
1634,Undiscernible,1,The activations are random with no clear pattern or consistent thematic structure indicating relevance to either low-level or high-level features.
1126,Undiscernible,1,"There is no clear pattern in the activations, with a high activation at the start token and relatively uniform activations for other tokens, suggesting random noise or irrelevant activations."
830,Undiscernible,1,"The activation values do not display a clear or consistent pattern, indicating random noise and irrelevant activations."
1881,Undiscernible,1,"The activation values show no clear pattern, with tokens not semantically related and seemingly random, lacking any discernible structure."
1618,Undiscernible,1,"The activations do not exhibit a clear or meaningful pattern across the tokens, indicating random or irrelevant associations typical of undiscernible features."
1083,Undiscernible,1,"The feature activation data shows no clear pattern among the tokens activated, with the highest value for <|begin_of_text|>, which suggests random noise rather than a consistent theme."
1511,Undiscernible,1,"The activations are associated with common words and punctuation that do not align with a clear pattern or theme, suggesting randomness."
1590,Undiscernible,1,"The activation data shows no clear pattern or theme, with activations on tokens that do not reveal any discernible structure or semantic coherence."
894,Undiscernible,1,"The activations show no clear pattern across the given tokens, with one token having an exceptionally high value while others do not align consistent with a clear theme or structure."
456,Undiscernible,1,"There is no discernible pattern, with diverse tokens such as punctuation, words, and special tokens being activated in a seemingly random manner."
1503,Undiscernible,1,The activation values show no discernible pattern related to meaningful text features; the high value for the special token suggests random or noise patterns.
735,Undiscernible,1,"The activation levels across tokens do not show a clear consistent pattern, with one token having an extreme activation compared to others, indicating randomness or noise."
1314,Undiscernible,1,"The feature activations do not show a discernible pattern and appear random, as the primary significant activation is on a non-thematic token <|begin_of_text|> with negative activations on potentially related tokens."
1619,Undiscernible,1,"The activation values are low and show no clear pattern, indicating the feature is random noise or irrelevant."
2037,Undiscernible,1,"The feature activations show no clear consistent pattern, with extreme activation on <|begin_of_text|> and minor negative activations on economic-related tokens, suggesting noise rather than meaningful low or high-level features."
1002,Undiscernible,1,"The activations show no discernible or consistent pattern, with tokens like '<|begin_of_text|>' having an unusually high activation value compared to others, indicating random noise or irrelevant activations."
762,Undiscernible,1,"The feature lacks a discernible pattern as activations are mostly on common tokens, or punctuation, with a significantly large activation on the <|begin_of_text|> token, indicating random noise."
1703,Undiscernible,1,"The primary token with significant activation is <|begin_of_text|>, suggesting a lack of meaningful pattern related to text content, which indicates randomness or noise."
