batch_index,orig_loss,reconstr_loss,zero_loss
0,2.6663780212402344,9.295893669128418,9.02731990814209
1,3.047781467437744,8.922118186950684,9.37193489074707
2,2.9483959674835205,9.114934921264648,9.624317169189453
3,4.012351989746094,8.329951286315918,9.007739067077637
4,3.4031968116760254,8.512252807617188,8.49633502960205
5,2.5907070636749268,9.422122955322266,8.786890029907227
6,2.544473886489868,10.000334739685059,9.290071487426758
7,2.931873321533203,9.390409469604492,8.986165046691895
8,3.795793056488037,7.973604679107666,8.775452613830566
9,2.8558261394500732,9.21008586883545,8.904003143310547
10,4.005664348602295,8.895342826843262,9.203079223632812
11,2.781188488006592,9.742256164550781,9.361016273498535
12,2.5290186405181885,8.505045890808105,8.604241371154785
13,2.034374952316284,10.09266185760498,9.696953773498535
14,2.6046905517578125,9.334824562072754,8.866471290588379
15,3.0508298873901367,9.502022743225098,8.770129203796387
16,3.1201953887939453,9.396553993225098,8.9203462600708
17,2.8870038986206055,9.78328800201416,9.04124641418457
18,2.356969118118286,9.601621627807617,8.995607376098633
19,2.9590647220611572,9.265984535217285,9.08868408203125
20,3.8506898880004883,8.787995338439941,8.809813499450684
21,3.2699286937713623,8.369780540466309,8.292889595031738
22,4.247214317321777,7.758333683013916,8.144230842590332
23,2.7632436752319336,9.384672164916992,8.695655822753906
24,2.9489035606384277,8.59952449798584,9.024514198303223
25,2.6982767581939697,9.139830589294434,9.03342056274414
26,2.6976819038391113,9.183443069458008,8.55267333984375
27,3.226182699203491,9.163741111755371,8.89543628692627
28,2.9081358909606934,9.62861442565918,8.95160961151123
29,2.3993825912475586,8.781265258789062,8.581178665161133
30,3.5477283000946045,8.671422958374023,9.005595207214355
31,2.7971675395965576,9.370670318603516,8.723790168762207
32,2.3876266479492188,9.659743309020996,9.037683486938477
33,2.677640199661255,9.254483222961426,8.72695255279541
34,3.3222498893737793,9.28518009185791,8.998623847961426
35,2.494887590408325,9.25422191619873,8.80832290649414
36,3.161180257797241,9.012307167053223,8.903583526611328
37,2.8064184188842773,9.65288257598877,9.154045104980469
38,2.7559313774108887,9.839303970336914,9.339147567749023
39,3.1294138431549072,9.20383071899414,9.211708068847656
40,2.949221134185791,8.68051815032959,8.1688814163208
41,3.3106911182403564,8.984297752380371,9.090848922729492
42,2.9501593112945557,9.158002853393555,8.498558044433594
43,3.0483884811401367,9.345094680786133,8.784677505493164
44,2.3689746856689453,9.031603813171387,8.727473258972168
45,2.508136510848999,9.797381401062012,9.310750961303711
46,3.830456256866455,8.918973922729492,9.16836166381836
47,2.8134000301361084,9.023717880249023,8.42709732055664
48,4.1558051109313965,8.623751640319824,8.88800048828125
49,3.981901168823242,8.679405212402344,8.66100025177002
