width,folder_name,subfolder,contrastive_score,independent_score,interpretability_score
16384,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_5,29.6593073846817,59.889933818054196,52.644626303863525
16384,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_1,30.117548287582398,91.07381221618652,79.2220342628479
16384,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_2,30.26925546588898,89.82428628387451,79.55782395324707
16384,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_4,31.47738400154114,66.52401325073242,59.29714413070679
16384,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_0,29.876233281326293,93.5067996383667,80.626026612854
16384,sae_bench_gemma-2-2b_jump_relu_width-2pow14_date-0107,blocks.12.hook_resid_post__trainer_3,29.765512345695495,88.71126411743164,79.4221944519043
4096,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_5,16.03697379436493,25.82743947982788,23.43741456680298
4096,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_1,18.22616924057007,46.89922496566773,42.09978542060852
4096,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_2,17.945335959243774,48.54235361709595,44.55200076751709
4096,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_4,17.311434862136842,32.37963722190857,29.348370742034913
4096,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_0,17.618947444534303,49.22134249649048,44.114259864044186
4096,sae_bench_gemma-2-2b_jump_relu_width-2pow12_date-0107,blocks.12.hook_resid_post__trainer_3,17.24240529499054,45.852211819458006,41.79718248977661
65536,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_5,59.928900844573974,155.79156931762697,137.23870549468995
65536,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_1,53.53617579612732,147.11403446044923,121.51375146636963
65536,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_2,56.980521240234374,134.36331649017333,117.16080749664307
65536,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_4,64.51618724479675,147.47334296569824,130.12313082885743
65536,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_0,49.892588166427615,188.68544205932616,158.81858388824463
65536,sae_bench_gemma-2-2b_jump_relu_width-2pow16_date-0107,blocks.12.hook_resid_post__trainer_3,59.66609345359802,116.26357414550782,103.29098910827636
